year;_STATE;_COUNTY
1979;Colorado;El Paso
1979;Colorado;El Paso
1979;Colorado;El Paso
1979;Colorado;El Paso
1979;Colorado;El Paso
1979;Colorado;El Paso
1979;Colorado;El Paso
1979;Colorado;El Paso
1979;Colorado;El Paso
1979;Colorado;El Paso
1979;Colorado;El Paso
1979;Colorado;El Paso
1979;Colorado;El Paso
1979;Colorado;El Paso
1979;Colorado;El Paso
1979;Colorado;El Paso
1979;Colorado;El Paso
1979;Colorado;El Paso
1979;Colorado;El Paso
1979;Colorado;El Paso
1979;Colorado;El Paso
1979;Colorado;El Paso
1979;Colorado;El Paso
1979;Colorado;El Paso
1979;Colorado;El Paso
1979;Colorado;El Paso
1979;Colorado;El Paso
1979;Colorado;El Paso
1979;Colorado;El Paso
1979;Colorado;El Paso
1979;Colorado;El Paso
1979;Colorado;El Paso
1979;Colorado;El Paso
1979;Colorado;El Paso
1979;Colorado;El Paso
1979;Colorado;El Paso
1979;Colorado;El Paso
1979;Colorado;El Paso
1977;Colorado;El Paso
1965;Colorado;El Paso
1990;Colorado;El Paso
1990;Colorado;El Paso
1990;Colorado;El Paso
1990;Colorado;El Paso
1990;Colorado;El Paso
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
